iata_code,icao_code,airline,call_sign,country_region
"9Q",PBA,PB Air,PEEBEE AIR,Thailand
PU,PUA,PLUNA,PLUNA,Uruguay
U4,PMT,PMTair,MULTITRADE,Cambodia
OH,JIA,PSA Airlines,BLUE STREAK,United States
Y5,PCE,Pace Airlines,PACE,United States
BL,PIC,Pacific Airlines,PACIFIC AIRLINES,Vietnam
DJ,PBN,Pacific Blue,BLUEBIRD,New Zealand
"8P",PCO,Pacific Coastal Airlines,PASCO,Canada
Q8,PEC,Pacific East Asia Cargo Airlines,PAC-EAST CARGO,Philippines
LW,NMI,Pacific Wings,TSUNAMI,United States
GX,"",Pacificair,"",Philippines
PK,PIA,Pakistan International Airlines,PAKISTAN,Pakistan
GP,PTP,Palau Trans Pacific Airlines,TRANS PACIFIC,Palau
PF,PNW,Palestinian Airlines,PALESTINIAN,Egypt
NR,PIR,Pamir Airways,PAMIR,Afghanistan
"7N",PWD,PAWA Dominicana,"",Dominican Republic
PN,"",Pan American Airways,"",United States
PA,PAA,Pan American Airways,"",United States
PA,PAA,Pan American World Airways,CLIPPER,United States
P8,PTN,Pantanal Linhas Aéreas,PANTANAL,Brazil
I7,PMW,Paramount Airways,PARAWAY,India
P3,PTB,Passaredo Transportes Aéreos,PASSAREDO,Brazil
HP,HPA,Pearl Airways,PEARL AIRWAYS,Haiti
PC,PGT,Pegasus Airlines,SUNTURK,Turkey
PE,PEV,People's,PEOPLES,Austria
"1I","",Pegasus Hava Tasimaciligi,Sunturk,Turkey
KS,PEN,Peninsula Airways,PENINSULA,United States
P9,PGP,Perm Airlines,PERM AIR,Russia
P9,PVN,Peruvian Airlines,"",Peru
Z2,EZD,Philippines AirAsia,REDHOT,Philippines
PR,PAL,Philippine Airlines,PHILIPPINE,Philippines
HP,"",Phoenix Airways,"",Switzerland
"9R",VAP,Phuket Air,PHUKET AIR,Thailand
PI,PDT,Piedmont Airlines (1948-1989),PIEDMONT,United States
"9E",FLG,Pinnacle Airlines,FLAGSHIP,United States
PO,PAC,Polar Air Cargo,POLAR,United States
PH,PAO,Polynesian Airlines,POLYNESIAN,Samoa
DJ,PLB,Polynesian Blue,POLYBLUE,New Zealand
"1U","",Polyot Sirena,"",Russia
PD,POE,Porter Airlines,PORTER,Canada
NI,PGA,Portugalia,PORTUGALIA,Portugal
M4,MSA,Poste Air Cargo,AIRMERCI,Italy
BK,PDC,Potomac Air,DISTRICT,United States
PW,PRF,Precision Air,PRECISION AIR,Tanzania
TO,PSD,President Airlines,"",Cambodia
FE,WCP,Primaris Airlines,WHITECAP,United States
"8Q","",Princess Air,"",""
"8W",PWF,Private Wings Flugcharter,PRIVATE WINGS,Germany
P6,PVG,Privilege Style Líneas Aéreas,PRIVILEGE,Spain
P0,PFZ,Proflight Zambia,PROFLIGHT-ZAMBIA,Zambia
PB,SPR,Provincial Airlines,SPEEDAIR,Canada
FV,PLK,Pulkovo Aviation Enterprise,PULKOVO,Russia
QF,QFA,Qantas,QANTAS,Australia
QF,QLK,QantasLink,QLINK,Australia
QF,QJE,QantasLink,QJET,Australia
QR,QTR,Qatar Airways,QATARI,Qatar
RX,RGE,Regent Airways,REGENT,Bangladesh
R6,"",RACSA,"",Guatemala
"1D","",Radixx,"",United States
"8L",RHC,Redhill Aviation,REDAIR,United Kingdom
V4,REK,Reem Air,REEM AIR,Kyrgyzstan
FN,RGL,Regional Air Lines,MAROC REGIONAL,Morocco
ZL,RXA,Regional Express,REX,Australia
P7,REP,Regional Paraguaya,REGIOPAR,Paraguay
"3C",CEA,RegionsAir,CORP-X,United States
QQ,ROA,Reno Air,RENO AIR,United States
RW,RPA,Republic Airlines,BRICKYARD,United States
RH,RPH,Republic Express Airlines,PUBLIC EXPRESS,Indonesia
C7,RLE,Rico Linhas Aéreas,RICO,Brazil
E2,GRN,Rio Grande Air,GRANDE,United States
RL,RIO,Rio Linhas Aéreas,RIO,Brazil
SL,RSL,Rio Sul Serviços Aéreos Regionais,RIO SUL,Brazil
V2,RBY,Vision Airlines,RUBY,United States
FV,SDM,Rossiya,RUSSIA,Russia
GZ,RAR,Air Rarotonga,AIR RAROTONGA,Cook Islands
RR,RFR,Royal Air Force,RAFAIR,United Kingdom
RS,MJN,Royal Air Force of Oman,MAJAN,Oman
AT,RAM,Royal Air Maroc,ROYALAIR MAROC,Morocco
R0,RPK,Royal Airlines,ROYAL PAKISTAN,Pakistan
V5,RYL,Royal Aruban Airlines,ROYAL ARUBAN,Aruba
BI,RBA,Royal Brunei Airlines,BRUNEI,Brunei
RJ,RJA,Royal Jordanian,JORDANIAN,Jordan
RK,RCT,Skyview Airways,GREENSKY,THAILAND
RK,RKH,Royal Khmer Airlines,KHMER AIR,Cambodia
RL,PPW,Royal Phnom Penh Airways,PHNOM-PENH AIR,Cambodia
RR,RYS,Buzz (Ryanair),MAGIC SUN,Poland
WR,HRH,Royal Tongan Airlines,TONGA ROYAL,Tonga
P7,ESL,Russian Sky Airlines,RADUGA,Russia
WB,RWD,Rwandair Express,RWANDAIR,Rwanda
"7S",RCT,Ryan Air Services,ARCTIC TRANSPORT,United States
RD,RYN,Ryan International Airlines,RYAN INTERNATIONAL,United States
FR,RYR,Ryanair,RYANAIR,Ireland
YS,RAE,Régional Compagnie Aérienne Européenne,REGIONAL EUROPE,France
RT,BUG,UVT Aero,"",Russia
SS,CRL,Corsairfly,CORSAIR,France
TR,TGW,Scoot,SCOOTER,Singapore
IJ,SJO,Spring Airlines Japan,JEY SPRING,Japan
"6Y",ART,Smartlynx Airlines,SMART LYNX,Latvia
QS,TVS,Smartwings,SKYTRAVEL,Czech Republic
E3,VGO,Sabaidee Airways,VIRGO,Thailand
GG,KYE,Sky Lease Cargo,SKY CUBE,United States
GW,SGR,SkyGreece Airlines,SKYGREECE,Greece
SH,SHA,Sharp Airlines,SHARP,Australia
N9,SHA,Shree Airlines,SHREEAIR,Nepal
"7E",AWU,Sylt Air GmbH,SYLT-AIR,Germany
OL,SZB,Samoa Air,SAMOA,Samoa
S4,RZO,SATA International,AIR AZORES,Portugal
SA,SAA,South African Airways,SPRINGBOK,South Africa
KV,SKV,Sky Regional Airlines,MAPLE,Canada
W7,SAH,Sayakhat Airlines,SAYAKHAT,Kazakhstan
NL,SAI,Shaheen Air,SHAHEEN AIR,Pakistan
MM,SAM,SAM Colombia,SAM,Colombia
SK,SAS,Scandinavian Airlines,SCANDINAVIAN,"Sweden, Denmark and Norway"
PI,SGU,Sol del Paraguay,SOLPARAGUAYO,Paraguay
UG,SEN,SevenAir,S-BAR,United States
S7,SBI,S7 Airlines,SIBERIAN AIRLINES,Russia
Q7,SBM,SkyBahamas,SKY BAHAMAS,Bahamas
BB,SBS,Seaborne Airlines,SEABORNE,United States
PV,SBU,St Barth Commuter,BLACK FIN,France
JX,SJX,Starlux Airlines,STARWALKER,Taiwan
K5,SQH,SeaPort Airlines,SASQUATCH,United States
W3,SCL,Switfair Cargo,SWIFTAIR,Canada
FP,AND,Servicios Aéreos de los Andes,SERVI ANDES,Peru
UL,ALK,SriLankan Airlines,SRILANKAN,Sri Lanka
SY,SCX,Sun Country Airlines,SUN COUNTRY,United States
SG,SEJ,Spicejet,SPICEJET,India
I6,SEQ,Sky Eyes,SKY EYES,Thailand
EH,SET,SAETA,SAETA,Ecuador
"7G",SFJ,Star Flyer,STARFLYER,Japan
FA,SFR,Safair,CARGO,South Africa
N5,SGY,Skagway Air Service,SKAGWAY AIR,United States
HZ,SHU,Sakhalinskie Aviatrassy (SAT),SATAIR,Russia
SP,SAT,SATA Air Acores,SATA,Portugal
"8S","",Scorpio Aviation,"",""
ZY,SHY,Sky Airlines,ANTALYA BIRD,Turkey
SQ,SIA,Singapore Airlines,SINGAPORE,Singapore
"5M",SIB,Sibaviatrans,SIBAVIA,Russia
SI,SIH,Skynet Airlines,BLUEJET,Ireland
XS,SIT,SITA,"",Belgium
ZS,SMY,Sama Airlines,NAJIM,Saudi Arabia
SQ,SQC,Singapore Airlines Cargo,SINGCARGO,Singapore
FT,SRH,Siem Reap Airways,SIEMREAP AIR,Cambodia
SX,SRK,Sky Work Airlines,SKYFOX,Switzerland
SM,SRL,Swedline Express,Starline,Sweden
S6,SRR,Star Air,WHITESTAR,Denmark
D2,SSF,Severstal Air Company,SEVERSTAL,Russia
VD,BBB,SwedJet Airways,BLACKBIRD,Sweden
QF,SSQ,Sunstate Airlines,SUNSTATE,Australia
"5G",SSV,Skyservice Airlines,SKYTOUR,Canada
RE,STK,Stobart Air,STOBART,Ireland
FS,STU,Servicios de Transportes Aéreos Fueguinos,FUEGUINO,Argentina
SD,SUD,Sudan Airways,SUDANAIR,Sudan
PI,SUF,Sun Air (Fiji),SUNFLOWER,Fiji
LW,FDY,Sun Air International,FRIENDLY,United States
EZ,SUS,Sun Air of Scandinavia,SUNSCAN,Denmark
SV,SVA,Saudia,SAUDIA,Saudi Arabia
WN,SWA,Southwest Airlines,SOUTHWEST,United States
A4,SWD,Southern Winds Airlines,SOUTHERN WINDS,Argentina
WG,SWG,Sunwing Airlines,SUNWING,Canada
WQ,SWQ,Swift Air (Interstate Equipment Leasing),SWIFTFLIGHT,United States
LX,SWR,Swiss International Air Lines,SWISS,Switzerland
SR,SWR,Swissair,SWISSAIR,Switzerland
SR,SDR,Sundair,SUNDAIR,Germany
LZ[49],SWU,Swiss Global Air Lines,EUROSWISS,Switzerland
WV,SWV,Swe Fly,FLYING SWEDE,Sweden
S8,SWW,Shovkoviy Shlyah,WAY AERO,Ukraine
Q4,SWX,Swazi Express Airways,SWAZI EXPRESS,Swaziland
WO,WSW,Swoop,SWOOP,Canada
S8,SWZ,Skywise Airline,SKYWISE,South Africa
XQ,SXS,SunExpress,SUNEXPRESS,Turkey
RB,SYR,Syrian Arab Airlines,SYRIANAIR,Syrian Arab Republic
AL,SYX,Skywalk Airlines,SKYWAY-EX,United States
ZP,AZQ,Silk Way Airlines,SILK LINE,Azerbaijan
"7L",AZG,Silk Way West Airlines,SILK WEST,Azerbaijan
E5,BRZ,Samara Airlines,BERYOZA,Russia
E5,RBG,Air Arabia Egypt,ARABIA EGYPT,Egypt
SC,CDG,Shandong Airlines,SHANDONG,China
SK,CNO,SAS Braathens,SCANOR,Norway
"9C",CQH,Spring Airlines,AIR SPRING,China
"3U",CSC,Sichuan Airlines,SI CHUAN,China
FM,CSH,Shanghai Airlines,SHANGHAI AIR,China
ZH,CSZ,Shenzhen Airlines,SHENZHEN AIR,China
"8C",CXI,Shanxi Airlines,SHANXI,China
"7L",ERO,Sun D'Or,ECHO ROMEO,Israel
NE,ESK,SkyEurope,RELAX,Slovakia
CQ,EXL,Sunshine Express Airlines,"",Australia
SO,HKA,Superior Aviation,SPEND AIR,United States
TE,IGA,Skytaxi,IGUANA,Poland
JK,JKK,Spanair,SPANAIR,Spain
RZ*,LRS,Sansa,"",Costa Rica
"2G*",MRR,San Juan Airlines,MARINER,United States
"1Z",APD,Sabre Pacific,"",Australia
"1S","",Sabre,"",United States
"1I","",Sierra Nevada Airlines,"",United States
"1H","",Siren-Travel,"",Russia
"1Q","",Sirena,"",Russia
"1K","",Southern Cross Distribution,"",Australia
"1K","",Sutra,"",United States
"2C","",SNCF,"",France
"2S","",Star Equatorial Airlines,"",Guinea
NK,NKS,Spirit Airlines,SPIRIT WINGS,United States
S0,OKS,Slok Air Gambia,SLOK GAMBIA,Gambia
SO,OSL,Sosoliso Airlines,SOSOLISO,Nigeria
VA,OZW,Virgin Australia Regional Airlines,VELOCITY,Australia
"1I",PZR,Sky Trek International Airlines,PHAZER,United States
SX,SKB,Skybus Airlines,SKYBUS,United States
RU,SKI,SkyKing Turks and Caicos Airways,SKYKING,Turks and Caicos Islands
S3,BBR,Santa Barbara Airlines,SANTA BARBARA,Venezuela
XT,SKT,SkyStar Airways,SKY YOU,Thailand
H2,SKU,Sky Airline,AEROSKY,Chile
OO,SKW,SkyWest Airlines,SKYWEST,United States
JZ,SKX,Skyways Express,SKY EXPRESS,Sweden
BC,SKY,Skymark Airlines,SKYMARK,Japan
LJ,SLA,Sierra National Airlines,SELAIR,Sierra Leone
MI,SLK,SilkAir,SILKAIR,Singapore
"6Q",SLL,Slovak Airlines,SLOV LINE,Slovakia
PY,SLM,Surinam Airways,SURINAM,Suriname
"8D","",Servant Air,"",United States
NB,SNB,Sterling Airlines,STERLING,Denmark
"6J",SNJ,Skynet Asia Airways,NEWSKY,Japan
IE,SOL,Solomon Airlines,SOLOMON,Solomon Islands
"6W",SOV,Saratov Airlines Joint Stock Company,SARATOV AIR,Russia
HZ,SOZ,Sat Airlines,SATCO,Kazakhstan
S5,TCF,Shuttle America,MERCURY,United States
DV,VSV,Scat Air,VLASTA,Kazakhstan
R1,"",Sirin,"",""
S6,"",Star Air,"",Denmark
Q4,TLK,Starlink Aviation,STARLINK,Canada
V9,HCW,Star1 Airlines,STAR1,Lithuania
SO,AAS,Sunshine Airlines,"",""
O3,CSS,SF Airlines,SHUN FENG,China
"5P",LLX,Small Planet Airlines,GERMANJET,Germany
XG,SXD,Sunexpress Deutschland,SUNRISE,Germany
PQ,SQP,SkyUp,SKYUP,Ukraine
LS,EXS,Jet2,Channex,United Kingdom
TXZ,Thai Express Air,EXPRESS AIR,Thailand,"2014[51]"
WE,THD,Thai Smile Airways,THAI SMILE,Thailand
VZ,TVJ,Thai Vietjet Air,THAIVIET JET,Thailand
XJ,TAX,Thai AirAsia X,EXPRESS WING,Thailand
SL,TLM,Thai Lion Mentari,MENTARI,Thailand
EQ,TAE,TAME,TAME,Ecuador
JJ,TAM,LATAM Brasil,TAM,Brazil
TP,TAP,TAP Portugal,AIR PORTUGAL,Portugal
TU,TAR,Tunisair,TUNAIR,Tunisia
"3V",TAY,TNT Airways,QUALITY,Belgium
TR,TBA,Transbrasil,TRANSBRASIL,Brazil
M7,TBG,Tropical Airways,"",Haiti
T2,TCG,Thai Air Cargo,THAI CARGO,Thailand
HQ,TCW,Thomas Cook Airlines,THOMAS COOK,Belgium
MT,TCX,Thomas Cook Airlines,THOMAS COOK,United Kingdom
TQ,TDM,Tandem Aero,TANDEM,Moldova
L9,TLW,Teamline Air,Teamline,Austria
UE,TEP,Transeuropean Airlines,TRANSEURLINE,Russia
"2S",TGR,Satgur Air Transport,SATGURAIR,Liberia
ZT,AWC,Titan Airways,ZAP,United Kingdom
TR,TGW,Tigerair Singapore,GO CAT,Singapore
TT,TGG,Tigerair Australia,TIGGOZ,Australia
IT,TTW,Tigerair Taiwan,SMART CAT,Taiwan
DG,SRQ,Cebgo,BLUE JAY,Philippines
TG,THA,Thai Airways International,THAI,Thailand
FD,AIQ,Thai AirAsia,THAI ASIA,Thailand
TK,THY,Turkish Airlines,TURKISH,Turkey
T7,TJT,Twin Jet,TWINJET,France
"9I",LLR,Thai Sky Airlines,THAI SKY AIR,Thailand
TD,TLP,Tulip Air,TULIPAIR,Netherlands
TL,TMA,Trans Mediterranean Airlines,TANGO LIMA,Lebanon
GY,TMG,Tri-MG Intra Asia Airlines,TRILINES,Indonesia
OF,TML,Transports et Travaux Aériens de Madagascar,TAM AIRLINE,Madagascar
"3P",TNM,Tiara Air,TIARA,Aruba
"7T",TOB,Tobruk Air,TOBRUK AIR,Libya
TI,TOL,Tol-Air Services,TOL AIR,United States
BY,TOM,Thomson Airways,TUI AIR[52],United Kingdom
PM,TOS,Tropic Air,TROPISER,Belize
QT,TPA,TAMPA,TAMPA,Colombia
K3,TQN,Taquan Air Services,TAQUAN,United States
GE,TNA,TransAsia Airways,"",Taiwan
TO,TVF,Transavia France,FRANCE SOLEIL,France
HV,TRA,Transavia Holland,TRANSAVIA,Netherlands
VR,TCV,TACV,CABOVERDE,Cape Verde
T9,TRZ,TransMeridian Airlines,TRANS-MERIDIAN,United States
TH,TSE,Transmile Air Services,TRANSMILE,Malaysia
S5,TSJ,Trast Aero,TRAST AERO,Kyrgyzstan
"9T",ABS,Transwest Air,ATHABASKA,Canada
UN,TSO,Transaero Airlines,TRANSOVIET,Russia
T9,TSX,Thai Star Airlines,THAI STAR,Thailand
T5,TUA,Turkmenhovayollary,TURKMENISTAN,Turkmenistan
UG,TUI,Tuninter,"",Tunisia
"7O[53]",TVL,Travel Service,TRAVEL SERVICE,Hungary
T6,TVR,Tavrey Airlines,TAVREY,Ukraine
TW,TWB,T'way Air,TWAYAIR,Republic of Korea
AL,TXC,TransAVIAexport Airlines,TRANSEXPORT,Belarus
"6B",BLX,TUIfly Nordic,BLUESCAN,Sweden
DT,DTA,TAAG Angola Airlines,DTA,Angola
SF,DTH,Tassili Airlines,TASSILI AIR,Algeria
TJ,GPD,Tradewind Aviation,GOODSPEED,United States
PZ,LAP,TAM Mercosur,PARAGUAYA,Paraguay
AX,LOF,Trans States Airlines,WATERSKI,United States
"1E","",Travelsky Technology,"",China
"2H","",Thalys,"",Belgium
"1L",OSY,Open Skies Consultative Commission,OPEN SKIES,United States
RO,ROT,Tarom,TAROM,Romania
"3T",URN,Turan Air,TURAN,Azerbaijan
T4,TIB,TRIP Linhas Aéreas,TRIP,Brazil
L6,VNZ,Tbilaviamsheni,TBILAVIA,Georgia
XN,XAR,XpressAir,XPRESS,Indonesia
VO,TYR,Tyrolean Airways,TYROLEAN,Austria
TX,TAN,Transportes Aéreos Nacionales,"",Honduras
OR,TFL,TUI Airlines Netherlands,ORANGE,Netherlands
GS,GCR,Tianjin Airlines,BO HAI,China
TZ,"",Tsaradia,"",Madagascar
TC,ATC,Air Tanzania Company Limited,TANZANIA,Tanzania
U5,GWY,USA3000 Airlines,GETAWAY,United States
B7,UIA,UNI Air,GLORY,Taiwan
UA,UAL,United Airlines,UNITED,United States
"4H",UBD,United Airways,UNITED BANGLADESH,Bangladesh
U7,JUS,USA Jet Airlines,JET USA,United States
U6,SVR,Ural Airlines,SVERDLOVSK AIR,Russia
QU,UGA,Uganda Airlines (1976–2001),UGANDA,Uganda
UR,UGD,Uganda Airlines,CRESTED,Uganda
UF,UKM,UM Airlines,UKRAINE MEDITERRANEE,Ukraine
"6Z",UKS,Ukrainian Cargo Airways,CARGOTRANS,Ukraine
"5X",UPS,United Parcel Service,UPS,United States
US,AWE,US Airways,CACTUS,United States
BS,UBG,US-Bangla Airlines,BANGLA STAR,Bangladesh
UH,USH,US Helicopter,US-HELI,United States
UT,UTA,UTair Aviation,UTAIR,Russia
HY,UZB,Uzbekistan Airways,UZBEK,Uzbekistan
PS,AUI,Ukraine International Airlines,UKRAINE INTERNATIONAL,Ukraine
US,"",Unavia Suisse,"",Switzerland
JW,VNL,Vanilla Air,VANILLA,Japan
VB,VIV,VIVA Aerobus,AEROENLACES,Mexico
VA,VOZ,Virgin Australia,VELOCITY,Australia
VF,VLU,Valuair,VALUAIR,Singapore
J7,VJA,ValuJet Airlines,CRITTER,United States
"0V",VFC,Vietnam Air Services Company (VASCO),VASCO AIR,Vietnam
VC,VAL,Voyageur Airways,VOYAGEUR,Canada
VN,HVN,Vietnam Airlines,VIET NAM AIRLINES,Vietnam
NN,MOV,VIM Airlines,MOV AIR,Russia
"2R","",Via Rail Canada,"",Canada
VA,"",Viasa,"",Venezuela
Y4,VOI,Volaris,VOLARIS,Mexico
VI,VDA,Volga-Dnepr Airlines,VOLGA,Russia
VX,VRD,Virgin America,REDWOOD,United States
VJ,VJC,Vietjet Air,VIETJET,Vietnam
V4,VES,Vieques Air Link,VIEQUES,United States
TV,VEX,Virgin Express,VIRGIN EXPRESS,Belgium
VK,VGN,Virgin Nigeria Airways,VIRGIN NIGERIA,Nigeria
VS,VIR,Virgin Atlantic,VIRGIN,United Kingdom
ZG,VVM,Viva Macau,JACKPOT,Macao
VE,VLE,C.A.I. Second,VOLA,Italy
VY,VLG,Vueling Airlines,VUELING,Spain
XF,VLK,Vladivostok Air,VLADAIR,Russia
LC,VLO,Varig Logística,VELOG,Brazil
VM,VOA,Viaggio Air,VIAGGIO,Bulgaria
"9V",VPA,Vipair Airlines,VIAIR,Kazakhstan
RG,VRN,VRG Linhas Aéreas,VARIG,Brazil
VH,VVC,Viva Air Colombia,Viva Air Colombia,Colombia
VP,VSP,VASP,VASP,Brazil
V7,VOE,Volotea,VOLOTEA,Spain
VG,VLM,VLM Airlines,RUBENS,Belgium
G6,WLG,Air Volga,GOUMRAK,Russia
UK,VTI,Vistara,Vistara,India
WD,WDL,WDL Aviation,WDL,Germany
WT,WSG,Wasaya Airways,WASAYA,Canada
WH,WEB,WebJet Linhas Aéreas,WEB-BRASIL,Brazil
"2W",WLC,Welcome Air,WELCOMEAIR,Austria
WZ,WSF,West African Airlines,"",Benin
PT,SWN,West Air Sweden,AIR SWEDEN,Sweden
YH,WCW,West Caribbean Airways,WEST,Colombia
"8O",YWZ,West Coast Air,COAST AIR,Canada
WS,WJA,WestJet,WESTJET,Canada
ST*,STT,"Western Aircraft, Inc",SAWTOOTH,United States
WA,WAL,Western Airlines,WESTERN,United States
WA,KLC,KLM Cityhopper,CITY,the Netherlands
W7,KMR,Western Pacific Airlines,KOMSTAR,United States
CN,WWD,Westward Airways,WESTWARD,United States
WF,WIF,Widerøe,WIDEROE,Norway
WL,WLS,Air Wales Virtual,WALES,United Kingdom
IV,JET,Wind Jet,GHIBLI,Italy
"7W",QGA,Windrose Air,QUADRIGA,Germany
IW,WON,Wings Air,WINGS ABADI,Indonesia
"8Z",WVL,Wizz Air Bulgaria,WIZZBUL,Bulgaria
W6,WZZ,Wizz Air,WIZZAIR,Hungary
W9,WUK,Wizz Air UK,WIZZ GO,United Kingdom
WO,WOA,World Airways,WORLD,United States
"1P","",Worldspan,"",United States
UI,CSW,SW Italia,SILKITALIA,Italy
WW,WOW,WOW air,WOW air,Iceland
"8V",WRF,Wright Air Service,WRIGHT FLYER,United States
KW,WAN,Wataniya Airways,WATANIYA,Kuwait
"3W*",VNR,Wan Air,WANAIR,French Polynesia
WR,WEN,WestJet Encore,ENCORE,Canada
"7A",XRC,Express Air Cargo,TUNISIA CARGO,Tunisia
MF,CXA,Xiamen Airlines,XIAMEN AIR,China
SE,SEU,XL Airways France,STARWAY,France
XP,CXP,Xtra Airways,CASINO EXPRESS,United States
YL,LLM,Yamal Airlines,YAMAL,Russia
R3,SYL,Yakutia Airlines,AIR YAKUTIA,Russia
Y8,YZR,Yangtze River Express,YANGTZE RIVER,China
Y0,EMJ,Yellow Air Taxi/Friendship Airways,"",United States
IY,IYE,Yemenia,YEMENI,Yemen
YT,NYT,Yeti Airlines,YETI AIRLINES,Nepal
"4Y",UYA,Yute Air Alaska,"",United States
"2N",UMK,Yuzhmashavia,YUZMASH,Ukraine
C4,IMX,Zimex Aviation,ZIMEX,Switzerland
Q3,MBN,Zambian Airways,ZAMBIANA,Zambia
"3J",WZP,Zip,ZIPPER,Canada
Z4,OOM,Zoom Airlines,ZOOM,Canada
